The,17,8.673469387755102%
A,7,3.571428571428571%
That,6,3.061224489795918%
And,6,3.061224489795918%
Of,5,2.5510204081632653%
To,4,2.0408163265306123%
Clock,4,2.0408163265306123%
Would,3,1.530612244897959%
With,3,1.530612244897959%
Village,3,1.530612244897959%
Shop,3,1.530612244897959%
In,3,1.530612244897959%
Had,3,1.530612244897959%
Elias,3,1.530612244897959%
Traveler,2,1.0204081632653061%
Time,2,1.0204081632653061%
Ticking,2,1.0204081632653061%
Mountains,2,1.0204081632653061%
Little,2,1.0204081632653061%
He,2,1.0204081632653061%
Future,2,1.0204081632653061%
For,2,1.0204081632653061%
Filled,2,1.0204081632653061%
Every,2,1.0204081632653061%
Clocks,2,1.0204081632653061%
By,2,1.0204081632653061%
Woven,1,0.5102040816326531%
Working,1,0.5102040816326531%
Work,1,0.5102040816326531%
Wonders,1,0.5102040816326531%
While,1,0.5102040816326531%
Where,1,0.5102040816326531%
Watches,1,0.5102040816326531%
Was,1,0.5102040816326531%
Unique,1,0.5102040816326531%
Unexpected,1,0.5102040816326531%
Traveler’s,1,0.5102040816326531%
Travelers,1,0.5102040816326531%
Took,1,0.5102040816326531%
Timepiece,1,0.5102040816326531%
Tick,1,0.5102040816326531%
There,1,0.5102040816326531%
Their,1,0.5102040816326531%
Tapestry,1,0.5102040816326531%
Tales,1,0.5102040816326531%
Sun,1,0.5102040816326531%
Story,1,0.5102040816326531%
Stories,1,0.5102040816326531%
Stopped,1,0.5102040816326531%
Stood,1,0.5102040816326531%
Square,1,0.5102040816326531%
Spoke,1,0.5102040816326531%
Sound,1,0.5102040816326531%
So,1,0.5102040816326531%
Smile,1,0.5102040816326531%
Small,1,0.5102040816326531%
Shared,1,0.5102040816326531%
Set,1,0.5102040816326531%
Serene,1,0.5102040816326531%
Repairs,1,0.5102040816326531%
Realized,1,0.5102040816326531%
Quaint,1,0.5102040816326531%
Pocket,1,0.5102040816326531%
Piece,1,0.5102040816326531%
Peculiar,1,0.5102040816326531%
Own,1,0.5102040816326531%
Over,1,0.5102040816326531%
Ornate,1,0.5102040816326531%
Open,1,0.5102040816326531%
One,1,0.5102040816326531%
On,1,0.5102040816326531%
Old,1,0.5102040816326531%
Now,1,0.5102040816326531%
Not,1,0.5102040816326531%
Nestled,1,0.5102040816326531%
Named,1,0.5102040816326531%
Mysterious,1,0.5102040816326531%
Morning,1,0.5102040816326531%
Memories,1,0.5102040816326531%
Measured,1,0.5102040816326531%
Magic,1,0.5102040816326531%
Made,1,0.5102040816326531%
Lived,1,0.5102040816326531%
Listening,1,0.5102040816326531%
Landscapes,1,0.5102040816326531%
Lands,1,0.5102040816326531%
Knowing,1,0.5102040816326531%
Just,1,0.5102040816326531%
Its,1,0.5102040816326531%
It,1,0.5102040816326531%
Intrigued,1,0.5102040816326531%
Into,1,0.5102040816326531%
Imagination,1,0.5102040816326531%
Hue,1,0.5102040816326531%
His,1,0.5102040816326531%
Him,1,0.5102040816326531%
Grandfather,1,0.5102040816326531%
Golden,1,0.5102040816326531%
Generations,1,0.5102040816326531%
From,1,0.5102040816326531%
Fixed,1,0.5102040816326531%
Entered,1,0.5102040816326531%
Encounters,1,0.5102040816326531%
Each,1,0.5102040816326531%
Dreams,1,0.5102040816326531%
Distant,1,0.5102040816326531%
Delicate,1,0.5102040816326531%
Day,1,0.5102040816326531%
Conversation,1,0.5102040816326531%
Connections,1,0.5102040816326531%
Clockmaker,1,0.5102040816326531%
Cities,1,0.5102040816326531%
Casting,1,0.5102040816326531%
Carrying,1,0.5102040816326531%
Carry,1,0.5102040816326531%
But,1,0.5102040816326531%
Bustling,1,0.5102040816326531%
Bring,1,0.5102040816326531%
Beyond,1,0.5102040816326531%
Between,1,0.5102040816326531%
Behind,1,0.5102040816326531%
Began,1,0.5102040816326531%
Became,1,0.5102040816326531%
As,1,0.5102040816326531%
An,1,0.5102040816326531%
Also,1,0.5102040816326531%
Air,1,0.5102040816326531%
Adventures,1,0.5102040816326531%
